,avg_return (%),avg_excess_return (%),annualised_sharpe,total_pnl,hit_rate (%),max_drawdown (%),num_obs
Rolling - baseline (full),0.1848,0.1778,"1.5059  [0.8209, 2.2310]",1449.74,56.53,-23.87,1638
Rolling - refined (full),0.1662,0.1591,"1.3550  [0.6189, 2.1552]",1046.41,55.62,-36.79,1638
"Buy & Hold (EW, full)",0.0876,0.0805,"0.7729  [0.0223, 1.5334]",235.09,56.02,-36.69,1638
